Chromosome,Start,End,Strand,Name,Transcript,ID
chr2,216903998,216946464,-,PECR,2,ENSG00000115425
chr2,216960687,216965265,+,TMEM169,6,ENSG00000163449
chr2,216974160,217069925,+,XRCC5,4,ENSG00000079246
chr2,217124035,217234983,-,MARCH4,1,ENSG00000144583
chr2,217279428,217347700,+,SMARCAL1,10,ENSG00000138375
chr2,217363598,217443656,+,RPL37A,8,ENSG00000197756
chr2,217498247,217528827,+,IGFBP2,4,ENSG00000115457
chr2,217541474,217559498,-,IGFBP5,2,ENSG00000115461
chr2,217724390,217724757,-,TNP1,1,ENSG00000118245
chr2,217735570,217736338,+,AC007557.1,1,ENSG00000223874
chr2,218568676,218620855,-,DIRC3,1,ENSG00000231672
chr2,218669182,218867595,-,TNS1,12,ENSG00000079308
chr2,218935329,218954777,+,RUFY4,4,ENSG00000188282
chr2,218999525,219000607,+,CXCR2,7,ENSG00000180871
chr2,219028882,219029934,-,CXCR1,1,ENSG00000163464
chr2,219082194,219118700,+,ARPC2,6,ENSG00000163466
chr2,219127448,219128440,+,GPBAR1,4,ENSG00000179921
chr2,219129256,219134809,-,AAMP,5,ENSG00000127837
chr2,219135259,219209704,+,PNKD,4,ENSG00000127838
chr2,219140198,219146864,-,TMBIM1,18,ENSG00000135926
chr2,219221608,219232687,+,C2orf62,1,ENSG00000158428
chr2,219247092,219259758,+,SLC11A1,3,ENSG00000018280
chr2,219263136,219269148,+,CTDSP1,5,ENSG00000144579
chr2,219288502,219314059,+,VIL1,5,ENSG00000127831
chr2,219319653,219423376,-,USP37,5,ENSG00000135913
chr2,219433678,219458999,+,RQCD1,7,ENSG00000144580
chr2,219480463,219501300,+,PLCD4,8,ENSG00000115556
chr2,219503062,219521152,-,ZNF142,7,ENSG00000115568
chr2,219525711,219528109,+,BCS1L,14,ENSG00000074582
chr2,219528680,219536693,-,RNF25,2,ENSG00000163481
chr2,219537553,219566732,+,STK36,9,ENSG00000163482
chr2,219602400,219619112,+,TTLL4,12,ENSG00000135912
chr2,219646906,219679753,+,CYP27A1,3,ENSG00000135929
chr2,219688485,219696493,-,PRKAG3,7,ENSG00000115592
chr2,219724761,219738567,+,WNT6,1,ENSG00000115596
chr2,219745718,219757993,+,WNT10A,2,ENSG00000135925
chr2,219824543,219825646,+,CDK5R2,1,ENSG00000171450
chr2,219846389,219849797,-,FEV,1,ENSG00000163497
chr2,219854974,219857898,-,CRYBA2,3,ENSG00000163499
chr2,219867659,219906234,-,CCDC108,11,ENSG00000181378
chr2,219919929,219925189,-,IHH,1,ENSG00000163501
chr2,219941042,220023084,-,NHEJ1,6,ENSG00000187736
chr2,220026631,220034706,-,SLC23A3,9,ENSG00000213901
chr2,220037308,220041550,-,CNPPD1,4,ENSG00000115649
chr2,220043075,220047351,+,FAM134A,8,ENSG00000144567
chr2,220071710,220074344,+,ZFAND2B,13,ENSG00000158552
chr2,220074660,220083395,-,ABCB6,7,ENSG00000115657
chr2,220085169,220092746,-,ATG9A,18,ENSG00000198925
chr2,220094980,220101167,+,ANKZF1,8,ENSG00000163516
chr2,220101794,220108295,-,GLB1L,9,ENSG00000163521
chr2,220110722,220113281,+,STK16,5,ENSG00000115661
chr2,220115074,220118580,-,TUBA4A,7,ENSG00000127824
chr2,220144556,220150719,+,DNAJB2,7,ENSG00000135924
chr2,220154948,220174054,-,PTPRN,10,ENSG00000054356
chr2,220192235,220197899,-,RESP18,2,ENSG00000182698
chr2,220239014,220264647,-,DNPEP,14,ENSG00000123992
chr2,220283185,220290712,+,DES,1,ENSG00000175084
chr2,220299700,220362911,+,SPEG,14,ENSG00000072195
chr2,220364698,220371520,+,GMPPA,8,ENSG00000144591
chr2,220379066,220402768,+,ASIC4,2,ENSG00000072182
chr2,220404105,220408260,-,CHPF,3,ENSG00000123989
chr2,220408809,220414576,+,TMEM198,4,ENSG00000188760
chr2,220415557,220435954,-,OBSL1,9,ENSG00000124006
chr2,220437097,220440248,+,INHA,1,ENSG00000123999
chr2,220462639,220480915,+,STK11IP,6,ENSG00000144589
chr2,220492715,220506450,+,SLC4A3,9,ENSG00000114923
chr2,222290748,222436968,-,EPHA4,11,ENSG00000116106
chr2,223065893,223163334,-,PAX3,8,ENSG00000135903
chr2,223168622,223169113,+,CCDC140,2,ENSG00000163081
chr2,223289322,223423617,+,SGPP2,1,ENSG00000163082
chr2,223436590,223520792,-,FARSB,2,ENSG00000116120
chr2,223536505,223574609,+,MOGAT1,1,ENSG00000124003
chr2,223773491,223806372,+,ACSL3,7,ENSG00000123983
chr2,223916863,223918061,+,KCNE4,2,ENSG00000152049
chr2,224462147,224464000,-,SCG2,3,ENSG00000171951
chr2,224617541,224702167,-,AP1S3,9,ENSG00000152056
chr2,224743388,224810001,-,WDFY1,2,ENSG00000085449
chr2,224822190,224831751,+,MRPL44,1,ENSG00000135900
chr2,224840584,224903220,-,SERPINE2,7,ENSG00000135919
chr2,225244290,225266485,-,FAM124B,3,ENSG00000124019
chr2,225338962,225449726,-,CUL3,7,ENSG00000036257
chr2,225630438,225907091,-,DOCK10,6,ENSG00000135905
chr2,226273597,226516281,+,NYAP2,2,ENSG00000144460
chr2,227659726,227663454,-,IRS1,1,ENSG00000169047
chr2,227729410,227860238,+,RHBDD1,9,ENSG00000144468
chr2,227872041,228012199,-,COL4A4,2,ENSG00000081052
chr2,228029443,228176586,+,COL4A3,2,ENSG00000169031
chr2,228194462,228221833,+,MFF,19,ENSG00000168958
chr2,228228440,228243984,-,TM4SF20,2,ENSG00000168955
chr2,228337138,228419211,+,AGFG1,7,ENSG00000173744
chr2,228476110,228497801,-,C2orf83,2,ENSG00000042304
chr2,228550866,228567034,-,SLC19A3,8,ENSG00000135917
chr2,228678628,228681799,+,CCL20,2,ENSG00000115009
chr2,228736406,228788684,+,DAW1,5,ENSG00000123977
chr2,228846433,229046314,-,SPHKAP,2,ENSG00000153820
chr2,229890348,230135759,-,PID1,5,ENSG00000153823
chr2,230223256,230579139,-,DNER,1,ENSG00000187957
chr2,230632270,230744795,-,TRIP12,11,ENSG00000153827
chr2,230787230,230875600,+,FBXO36,3,ENSG00000153832
chr2,230902096,230924068,-,SLC16A14,5,ENSG00000163053
chr2,231033840,231086436,-,SP110,9,ENSG00000135899
chr2,231090560,231222549,+,SP140,8,ENSG00000079263
chr2,231191985,231267611,+,SP140L,5,ENSG00000185404
chr2,231281012,231407661,+,SP100,12,ENSG00000067066
chr2,231624717,231683419,+,CAB39,3,ENSG00000135932
chr2,231729741,231742814,+,ITM2C,8,ENSG00000135916
chr2,231774718,231775677,-,GPR55,4,ENSG00000135898
chr2,231860949,231867514,+,SPATA3,8,ENSG00000173699
chr2,231902281,231911736,+,C2orf72,1,ENSG00000204128
chr2,231921740,232035426,+,PSMD1,7,ENSG00000173692
chr2,231973231,231988478,-,HTR2B,1,ENSG00000135914
chr2,232070952,232209806,+,ARMC9,7,ENSG00000135931
chr2,232260515,232263636,+,B3GNT7,1,ENSG00000156966
chr2,232317248,232317864,+,AC017104.2,1,ENSG00000233538
chr2,232319902,232329064,-,NCL,6,ENSG00000115053
chr2,232389754,232395072,-,NMUR1,1,ENSG00000171596
chr2,232457663,232458850,+,C2orf57,1,ENSG00000177673
chr2,232571517,232571621,-,MGC4771,1,ENSG00000269363
chr2,232572476,232577561,+,PTMA,8,ENSG00000187514
chr2,232597662,232645824,-,PDE6D,3,ENSG00000156973
chr2,232646534,232673285,+,COPS7B,16,ENSG00000144524
chr2,232790135,232790959,-,NPPC,2,ENSG00000163273
chr2,232879638,233208285,+,DIS3L2,13,ENSG00000144535
chr2,233243513,233246505,+,ALPP,1,ENSG00000163283
chr2,233271605,233274582,+,ALPPL2,1,ENSG00000163286
chr2,233320910,233323856,+,ALPI,2,ENSG00000163295
chr2,233344863,233351363,-,ECEL1,3,ENSG00000171551
chr2,233385309,233390216,+,PRSS56,1,ENSG00000237412
chr2,233390926,233400022,+,CHRND,8,ENSG00000135902
chr2,233404458,233410426,+,CHRNG,2,ENSG00000196811
chr2,233412817,233414592,-,TIGD1,1,ENSG00000221944
chr2,233415435,233445837,+,EIF4E2,9,ENSG00000135930
chr2,233470870,233546429,+,EFHD1,6,ENSG00000115468
chr2,233599908,233721570,+,GIGYF2,26,ENSG00000204120
chr2,233632901,233636072,-,KCNJ13,5,ENSG00000115474
chr2,233735052,233741066,+,C2orf82,5,ENSG00000182600
chr2,233744199,233839600,-,NGEF,9,ENSG00000066248
chr2,233877562,233880451,+,AC106876.2,1,ENSG00000222001
chr2,233897382,233899767,+,NEU2,1,ENSG00000115488
chr2,233925189,234115403,+,INPP5D,11,ENSG00000168918
chr2,234160474,234202996,+,ATG16L1,10,ENSG00000085978
chr2,234217836,234255558,+,SAG,5,ENSG00000130561
chr2,234263165,234378106,+,DGKD,5,ENSG00000077044
chr2,234386038,234474236,-,USP40,9,ENSG00000085982
chr2,234526354,234681205,+,UGT1A8,1,ENSG00000242366
chr2,234545169,234681205,+,UGT1A10,2,ENSG00000242515
chr2,234580581,234681205,+,UGT1A9,1,ENSG00000241119
chr2,234590584,234681205,+,UGT1A7,2,ENSG00000244122
chr2,234601651,234681205,+,UGT1A6,6,ENSG00000167165
chr2,234621638,234681205,+,UGT1A5,1,ENSG00000240224
chr2,234627467,234681205,+,UGT1A4,2,ENSG00000244474
chr2,234637773,234681205,+,UGT1A3,1,ENSG00000243135
chr2,234668934,234681205,+,UGT1A1,2,ENSG00000241635
chr2,234688005,234741905,+,MROH2A,4,ENSG00000185038
chr2,234746223,234763146,-,HJURP,7,ENSG00000123485
chr2,234835183,234926026,+,TRPM8,7,ENSG00000144481
chr2,234959431,234978657,+,SPP2,3,ENSG00000072080
chr2,235404450,235405230,-,ARL4C,2,ENSG00000188042
chr2,235943647,235962460,+,SH3BP4,7,ENSG00000130147
chr2,236403331,237032766,+,AGAP1,9,ENSG00000157985
chr2,236682576,236692031,-,AC064874.1,2,ENSG00000222007
chr2,237074557,237076614,-,GBX2,2,ENSG00000168505
chr2,237103515,237172988,-,ASB18,4,ENSG00000182177
chr2,237233331,237415910,-,IQCA1,5,ENSG00000132321
chr2,237489109,237490197,+,ACKR3,2,ENSG00000144476
chr2,237994608,238006385,+,COPS8,6,ENSG00000198612
chr2,238165759,238166177,+,AC112715.2,1,ENSG00000224132
chr2,238233417,238305460,-,COL6A3,10,ENSG00000163359
chr2,238330183,238330787,-,AC112721.1,1,ENSG00000222022
chr2,238402070,238462346,+,MLPH,12,ENSG00000115648
chr2,238475217,238475818,+,PRLH,1,ENSG00000071677
chr2,238483077,238494797,-,RAB17,8,ENSG00000124839
chr2,238499812,238503588,+,AC104667.3,1,ENSG00000234949
chr2,238536288,238688175,+,LRRFIP1,5,ENSG00000124831
chr2,238722250,238743044,+,RBM44,2,ENSG00000177483
chr2,238768319,238820425,+,RAMP1,4,ENSG00000132329
chr2,238875729,238949979,+,UBE2F,19,ENSG00000184182
chr2,238881750,238949979,+,UBE2F-SCLY,2,ENSG00000258984
chr2,238969672,239007994,+,SCLY,17,ENSG00000132330
chr2,239009061,239040373,+,ESPNL,4,ENSG00000144488
chr2,239049396,239059706,+,KLHL30,2,ENSG00000168427
chr2,239067649,239077128,+,FAM132B,3,ENSG00000178752
chr2,239079177,239112194,-,ILKAP,3,ENSG00000132323
chr2,239133774,239139860,-,AC016757.3,4,ENSG00000186235
chr2,239147468,239149303,-,HES6,9,ENSG00000144485
chr2,239155016,239186577,-,PER2,5,ENSG00000132326
chr2,239192329,239192498,+,AC012485.1,1,ENSG00000268396
chr2,239229304,239307560,+,TRAF3IP1,4,ENSG00000204104
chr2,239335712,239355152,+,ASB1,3,ENSG00000065802
chr2,239756857,239757339,+,TWIST2,1,ENSG00000233608
chr2,239974793,240274394,-,HDAC4,8,ENSG00000068024
chr2,240083493,240084053,-,AC017028.1,1,ENSG00000213828
chr2,240323442,240323940,+,AC062017.1,3,ENSG00000222020
chr2,240500120,240504804,+,AC079612.1,1,ENSG00000196758
chr2,240684580,240721542,+,AC093802.1,1,ENSG00000220256
chr2,240834636,240964718,-,NDUFA10,9,ENSG00000130414
chr2,240968908,240969846,-,OR6B2,1,ENSG00000182083
chr2,240981230,240982399,-,PRR21,2,ENSG00000221961
chr2,240984494,240985489,-,OR6B3,1,ENSG00000178586
chr2,241053907,241064304,+,AC013469.1,1,ENSG00000267963
chr2,241065980,241075764,-,MYEOV2,3,ENSG00000172428
chr2,241078587,241079743,-,OTOS,2,ENSG00000178602
chr2,241375336,241405707,+,GPC1,6,ENSG00000063660
chr2,241389247,241396080,-,AC110619.2,2,ENSG00000218416
chr2,241419026,241500457,-,ANKMY1,18,ENSG00000144504
chr2,241500102,241500884,+,DUSP28,3,ENSG00000188542
chr2,241512551,241517309,+,RNPEPL1,3,ENSG00000142327
chr2,241526329,241556415,+,CAPN10,12,ENSG00000142330
chr2,241558360,241570299,+,GPR35,5,ENSG00000178623
chr2,241615962,241622254,-,AQP12B,4,ENSG00000185176
chr2,241624478,241624705,-,AC011298.1,1,ENSG00000268822
chr2,241631331,241637773,+,AQP12A,2,ENSG00000184945
chr2,241656781,241737169,-,KIF1A,7,ENSG00000130294
chr2,241808283,241818238,+,AGXT,1,ENSG00000172482
chr2,241826487,241835414,-,C2orf54,5,ENSG00000172478
chr2,241858202,241932498,+,AC104809.3,7,ENSG00000226321
chr2,241938255,242027816,+,SNED1,7,ENSG00000162804
chr2,242028763,242041688,-,MTERFD2,11,ENSG00000122085
chr2,242045981,242082447,-,PASK,10,ENSG00000115687
chr2,242089120,242122878,+,PPP1R7,13,ENSG00000115685
chr2,242128027,242163568,+,ANO7,4,ENSG00000146205
chr2,242167573,242167803,+,AC104841.2,1,ENSG00000268485
chr2,242169016,242207063,-,HDLBP,27,ENSG00000115677
chr2,242259661,242289589,+,SEPT2,24,ENSG00000168385
chr2,242312523,242433540,+,FARP2,9,ENSG00000006607
chr2,242435077,242447873,-,STK25,19,ENSG00000115694
chr2,242498899,242511837,+,BOK,1,ENSG00000176720
chr2,242524021,242576432,-,THAP4,3,ENSG00000176946
chr2,242577130,242611679,+,ATG4B,14,ENSG00000168397
chr2,242615542,242626198,-,DTYMK,5,ENSG00000168393
chr2,242641481,242664446,+,ING5,3,ENSG00000168395
chr2,242674640,242707384,+,D2HGDH,11,ENSG00000180902
chr2,242716371,242743581,+,GAL3ST2,1,ENSG00000154252
chr2,242752524,242758374,+,NEU4,13,ENSG00000204099
chr2,242793210,242800990,-,PDCD1,3,ENSG00000188389
chr2,242811909,242815426,+,CXXC11,2,ENSG00000188011
chr2,242836364,242842520,-,AC131097.4,3,ENSG00000216921
chr3,239330,447394,+,CHL1,8,ENSG00000134121
chr3,1134420,1445102,+,CNTN6,6,ENSG00000134115
chr3,2613188,3097904,+,CNTN4,11,ENSG00000144619
chr3,3111909,3146668,-,IL5RA,11,ENSG00000091181
chr3,3170725,3189838,+,TRNT1,8,ENSG00000072756
chr3,3192549,3221371,-,CRBN,4,ENSG00000113851
chr3,3869104,4508929,-,SUMF1,6,ENSG00000144455
chr3,3886326,3888476,+,LRRN1,1,ENSG00000175928
chr3,4345055,4358930,+,SETMAR,6,ENSG00000170364
chr3,4558176,4887909,+,ITPR1,7,ENSG00000150995
chr3,4856088,4927450,-,AC018816.3,2,ENSG00000235978
chr3,5021404,5025377,+,BHLHE40,1,ENSG00000134107
chr3,5163979,5220468,+,ARL8B,4,ENSG00000134108
chr3,5229227,5229982,-,AC026202.1,1,ENSG00000268509
chr3,5229468,5257603,+,EDEM1,4,ENSG00000134109
chr3,6811740,7782093,+,GRM7,12,ENSG00000196277
chr3,8543625,8609284,+,LMCD1,7,ENSG00000071282
chr3,8661554,8784208,-,SSUH2,9,ENSG00000125046
chr3,8775563,8787553,+,CAV3,2,ENSG00000182533
chr3,8794663,8809873,-,OXTR,3,ENSG00000180914
chr3,8817251,9005069,-,RAD18,7,ENSG00000070950
chr3,9027203,9290635,-,SRGAP3,2,ENSG00000196220
chr3,9406753,9426372,+,THUMPD3,7,ENSG00000134077
chr3,9470623,9520296,+,SETD5,13,ENSG00000168137
chr3,9543895,9594363,-,LHFPL4,1,ENSG00000156959
chr3,9691268,9743657,+,MTMR14,11,ENSG00000163719
chr3,9745681,9771376,+,CPNE9,3,ENSG00000144550
chr3,9775825,9789033,+,BRPF1,7,ENSG00000156983
chr3,9791971,9829415,+,OGG1,14,ENSG00000114026
chr3,9799201,9809433,-,CAMK1,4,ENSG00000134072
chr3,9822041,9833150,-,TADA3,4,ENSG00000171148
chr3,9834806,9852349,+,ARPC4,8,ENSG00000241553
chr3,9834806,9876505,+,ARPC4-TTLL3,3,ENSG00000250151
chr3,9851691,9896305,+,TTLL3,28,ENSG00000214021
chr3,9879700,9885743,-,RPUSD3,9,ENSG00000156990
chr3,9908786,9920170,-,CIDEC,6,ENSG00000187288
chr3,9932407,9935061,+,JAGN1,1,ENSG00000171135
chr3,9944321,9957491,+,IL17RE,8,ENSG00000163701
chr3,9959000,9975277,+,IL17RC,16,ENSG00000163702
chr3,9976123,9986263,+,CRELD1,6,ENSG00000163703
chr3,9987911,9991799,-,PRRT3,3,ENSG00000163704
chr3,10005753,10028345,-,EMC3,3,ENSG00000125037
chr3,10070342,10142946,+,FANCD2,7,ENSG00000144554
chr3,10144675,10146458,-,FANCD2OS,3,ENSG00000163705
chr3,10157386,10168073,+,BRK1,2,ENSG00000254999
chr3,10183532,10191649,+,VHL,2,ENSG00000134086
chr3,10206639,10283912,+,IRAK2,1,ENSG00000134070
chr3,10290885,10320709,+,TATDN2,3,ENSG00000157014
chr3,10291056,10320371,+,RP11-438J1.1,2,ENSG00000272410
chr3,10327528,10334597,-,GHRL,13,ENSG00000157017
chr3,10342790,10362736,-,SEC13,9,ENSG00000157020
chr3,10370498,10491227,-,ATP2B2,7,ENSG00000157087
chr3,10857951,10980088,+,SLC6A11,2,ENSG00000132164
chr3,11058898,11078652,+,SLC6A1,3,ENSG00000157103
chr3,11300724,11302187,+,HRH1,4,ENSG00000196639
chr3,11340170,11596317,+,ATG7,15,ENSG00000197548
chr3,11600030,11744508,-,VGLL4,15,ENSG00000144560
chr3,11831979,11888110,-,TAMM41,7,ENSG00000144559
chr3,12195015,12200340,-,TIMP4,1,ENSG00000157150
chr3,12393092,12475644,+,PPARG,13,ENSG00000132170
chr3,12531300,12580872,+,TSEN2,10,ENSG00000154743
chr3,12581692,12586963,-,C3orf83,2,ENSG00000225526
chr3,12598650,12623752,+,MKRN2,3,ENSG00000075975
chr3,12626013,12660220,-,RAF1,7,ENSG00000132155
chr3,12776273,12810789,-,TMEM40,6,ENSG00000088726
chr3,12838220,12913257,+,CAND2,4,ENSG00000144712
chr3,12877593,12881736,-,RPL32,7,ENSG00000144713
chr3,12940889,13114514,-,IQSEC1,3,ENSG00000144711
chr3,13359181,13461726,-,NUP210,1,ENSG00000132182
chr3,13521848,13546183,+,HDAC11,17,ENSG00000163517
chr3,13573971,13679785,+,FBLN2,7,ENSG00000163520
chr3,13860441,13921313,-,WNT7A,1,ENSG00000154764
chr3,14105677,14106435,+,TPRXL,11,ENSG00000180438
chr3,14154387,14166176,-,CHCHD4,3,ENSG00000163528
chr3,14166694,14183295,+,TMEM43,2,ENSG00000170876
chr3,14187441,14220068,-,XPC,4,ENSG00000154767
chr3,14220361,14239616,+,LSM3,1,ENSG00000170860
chr3,14485143,14526515,+,SLC6A6,8,ENSG00000131389
chr3,14693344,14712701,+,CCDC174,2,ENSG00000154781
chr3,14724221,14814382,+,C3orf20,3,ENSG00000131379
chr3,14860579,14974674,+,FGD5,3,ENSG00000154783
chr3,15045422,15095078,+,NR2C2,9,ENSG00000177463
chr3,15091334,15106701,-,MRPS25,5,ENSG00000131368
chr3,15115289,15137627,-,ZFYVE20,7,ENSG00000131381
chr3,15248003,15292767,+,CAPN7,5,ENSG00000131375
chr3,15297593,15373915,-,SH3BP5,8,ENSG00000131370
chr3,15425657,15468018,-,METTL6,7,ENSG00000206562
chr3,15469287,15480662,+,EAF1,3,ENSG00000144597
chr3,15493151,15563132,-,COLQ,8,ENSG00000206561
chr3,15602372,15642970,-,HACL1,9,ENSG00000131373
chr3,15642912,15686995,+,BTD,7,ENSG00000169814
chr3,15711777,15900910,-,ANKRD28,5,ENSG00000206560
chr3,16216659,16273380,+,GALNT15,3,ENSG00000131386
chr3,16302271,16306383,-,DPH3,2,ENSG00000154813
chr3,16310753,16345069,+,OXNAD1,7,ENSG00000154814
chr3,16357362,16535376,-,RFTN1,8,ENSG00000131378
chr3,16630167,16679508,-,DAZL,3,ENSG00000092345
chr3,17051217,17131404,+,PLCL2,4,ENSG00000154822
chr3,17202455,17550062,-,TBC1D5,17,ENSG00000131374
chr3,18390662,18462459,-,SATB1,11,ENSG00000182568
chr3,19190212,19575591,+,KCNH8,3,ENSG00000183960
chr3,19921123,19977795,-,EFHB,4,ENSG00000163576
chr3,19992391,20025315,+,RAB5A,5,ENSG00000144566
chr3,20025748,20053564,-,PP2D1,2,ENSG00000183977
chr3,20081970,20194017,+,KAT2B,1,ENSG00000114166
chr3,20202597,20225519,-,SGOL1,15,ENSG00000129810
chr3,21462706,21792408,-,ZNF385D,2,ENSG00000151789
chr3,23250191,23631322,+,UBE2E2,5,ENSG00000182247
chr3,23848761,23932097,+,UBE2E1,6,ENSG00000170142
chr3,23934586,23952395,-,NKIRAS1,8,ENSG00000197885
chr3,23959351,23963166,+,RPL15,10,ENSG00000174748
chr3,23987070,24018910,+,NR1D2,2,ENSG00000174738
chr3,24164375,24270450,-,THRB,12,ENSG00000151090
chr3,25215889,25638107,+,RARB,5,ENSG00000077092
chr3,25639798,25705788,-,TOP2B,6,ENSG00000077097
chr3,25760951,25831356,-,NGLY1,8,ENSG00000151092
chr3,25832512,25835985,+,OXSM,5,ENSG00000151093
chr3,25900180,25904870,-,LINC00692,1,ENSG00000230891
chr3,26751164,26751943,+,LRRC3B,5,ENSG00000179796
chr3,27152763,27394373,-,NEK10,9,ENSG00000163491
chr3,27418255,27525617,-,SLC4A7,16,ENSG00000033867
chr3,27758561,27763785,-,EOMES,3,ENSG00000163508
chr3,28283285,28361120,+,CMC1,4,ENSG00000187118
chr3,28360734,28382108,-,AZI2,7,ENSG00000163512
chr3,28454560,28579429,+,ZCWPW2,6,ENSG00000206559
chr3,29323173,30045353,+,RBMS3,8,ENSG00000144642
chr3,30648376,30733091,+,TGFBR2,2,ENSG00000163513
chr3,30769734,30936106,-,GADL1,2,ENSG00000144644
chr3,31574491,31677556,+,STT3B,1,ENSG00000163527
chr3,31703564,32022671,-,OSBPL10,4,ENSG00000144645
chr3,32030572,32032470,+,ZNF860,1,ENSG00000197385
chr3,32148204,32207402,+,GPD1L,5,ENSG00000152642
chr3,32280465,32411459,+,CMTM8,2,ENSG00000170293
chr3,32433399,32496023,+,CMTM7,5,ENSG00000153551
chr3,32525452,32544237,-,CMTM6,1,ENSG00000091317
chr3,32568291,32612262,-,DYNC1LI1,4,ENSG00000144635
chr3,32726953,32815103,+,CNOT10,8,ENSG00000182973
chr3,32859573,32933303,+,TRIM71,1,ENSG00000206557
chr3,32994915,32995997,+,CCR4,1,ENSG00000183813
chr3,33038537,33138577,-,GLB1,10,ENSG00000170266
chr3,33134326,33135687,-,TMPPE,2,ENSG00000188167
chr3,33155570,33183940,+,CRTAP,2,ENSG00000170275
chr3,33194234,33260289,-,SUSD5,2,ENSG00000173705
chr3,33319005,33427100,+,FBXL2,12,ENSG00000153558
chr3,33431823,33481340,-,UBP1,5,ENSG00000153560
chr3,33540123,33759494,-,CLASP2,16,ENSG00000163539
chr3,33840221,33908017,+,PDCD6IP,6,ENSG00000170248
chr3,35723244,35835450,+,ARPP21,28,ENSG00000172995
chr3,36422136,36587781,+,STAC,4,ENSG00000144681
chr3,36756819,36780150,-,DCLK3,1,ENSG00000163673
chr3,36869766,36986300,-,TRANK1,3,ENSG00000168016
chr3,37032745,37034568,-,EPM2AIP1,1,ENSG00000178567
chr3,37035039,37107110,+,MLH1,18,ENSG00000076242
chr3,37095342,37190474,-,LRRFIP2,12,ENSG00000093167
chr3,37285042,37407594,+,GOLGA4,7,ENSG00000144674
chr3,37458758,37476621,+,C3orf35,6,ENSG00000198590
chr3,37493866,37860480,+,ITGA9,3,ENSG00000144668
chr3,37903691,38025757,+,CTDSPL,6,ENSG00000144677
chr3,38035164,38048546,+,VILL,6,ENSG00000136059
chr3,38049264,38071030,-,PLCD1,2,ENSG00000187091
chr3,38080717,38164096,+,DLEC1,4,ENSG00000008226
chr3,38164538,38178526,-,ACAA1,12,ENSG00000060971
chr3,38180153,38182777,+,MYD88,6,ENSG00000172936
chr3,38207368,38294382,+,OXSR1,3,ENSG00000172939
chr3,38307352,38318956,+,SLC22A13,3,ENSG00000172940
chr3,38347518,38359740,+,SLC22A14,3,ENSG00000144671
chr3,38388360,38454504,+,XYLB,4,ENSG00000093217
chr3,38495814,38524823,+,ACVR2B,1,ENSG00000114739
chr3,38537859,38583437,+,EXOG,14,ENSG00000157036
chr3,38591812,38674798,-,SCN5A,11,ENSG00000183873
chr3,38738840,38835501,-,SCN10A,1,ENSG00000185313
chr3,38888185,38991853,-,SCN11A,4,ENSG00000168356
chr3,39093517,39136234,+,WDR48,9,ENSG00000114742
chr3,39139727,39149032,-,GORASP1,13,ENSG00000114745
chr3,39149329,39180279,+,TTC21A,6,ENSG00000168026
chr3,39184546,39188173,-,CSRNP1,2,ENSG00000144655
chr3,39225405,39230936,-,XIRP1,3,ENSG00000168334
chr3,39306933,39323186,-,CX3CR1,6,ENSG00000168329
chr3,39373823,39374890,+,CCR8,3,ENSG00000179934
chr3,39425216,39438011,+,SLC25A38,2,ENSG00000144659
chr3,39448319,39453859,+,RPSA,4,ENSG00000168028
chr3,39541530,39554913,+,MOBP,14,ENSG00000168314
chr3,39942308,40299657,+,MYRIP,7,ENSG00000170011
chr3,40351433,40353505,+,EIF1B,1,ENSG00000114784
chr3,40429549,40468999,+,ENTPD3,4,ENSG00000168032
chr3,40498852,40503723,+,RPL14,4,ENSG00000188846
chr3,40519449,40529732,+,ZNF619,8,ENSG00000177873
chr3,40547844,40558354,+,ZNF620,4,ENSG00000177842
chr3,40567332,40579814,+,ZNF621,5,ENSG00000172888
chr3,41265560,41280833,+,CTNNB1,10,ENSG00000168036
chr3,41288420,41996251,-,ULK4,5,ENSG00000168038
chr3,42132962,42265229,+,TRAK1,6,ENSG00000182606
chr3,42299590,42305122,-,CCK,3,ENSG00000187094
chr3,42438757,42448743,-,LYZL4,2,ENSG00000157093
chr3,42544228,42577773,+,VIPR1,10,ENSG00000114812
chr3,42590108,42610538,-,SEC22C,14,ENSG00000093183
chr3,42632390,42636001,+,SS18L2,2,ENSG00000008324
chr3,42642499,42687467,+,NKTR,4,ENSG00000114857
chr3,42699848,42706090,+,ZBTB47,3,ENSG00000114853
chr3,42727111,42733485,+,KLHL40,1,ENSG00000157119
chr3,42734243,42742318,-,HHATL,8,ENSG00000010282
chr3,42750472,42799837,-,CCDC13,1,ENSG00000244607
chr3,42799824,42845683,-,HIGD1A,5,ENSG00000181061
chr3,42897820,42917308,-,CYP8B1,2,ENSG00000180432
chr3,42905995,42907149,+,ACKR2,3,ENSG00000144648
chr3,42947844,42959110,+,ZNF662,4,ENSG00000182983
chr3,42980388,43095056,+,KRBOX1,4,ENSG00000240747
chr3,43021135,43097878,+,FAM198A,3,ENSG00000144649
chr3,43121181,43122923,-,GTDC2,2,ENSG00000144647
chr3,43344696,43390049,+,SNRK,4,ENSG00000163788
chr3,43408398,43647344,-,ANO10,14,ENSG00000160746
chr3,43732485,43760041,+,ABHD5,5,ENSG00000011198
chr3,44283546,44373503,+,TOPAZ1,1,ENSG00000173769
chr3,44396275,44449174,+,TCAIM,7,ENSG00000179152
